,Word,Reading,Meaning
952,窓口,まどぐち,"ticket window, teller window, counter; contact person, point of contact"
953,口座,こうざ,account (e.g. bank)
954,入り口,"いりぐち, いりくち, はいりぐち, はいりくち","entrance, entry, gate, approach, mouth"
955,大口,おおぐち,"large amount, big mouth, tall talk"
956,口調,くちょう,"tone (e.g. of voice, etc.), (verbal) expression"
957,出口,でぐち,"exit, gateway, way out, outlet, leak, vent"
959,手口,てぐち,"modus operandi, criminal technique, trick"
960,町,"まち, ちょう","town, block, neighbourhood, neighborhood; street, road; 109.09 m; 0.99 hectares"
961,市町村,しちょうそん,"cities, towns and villages, municipalities"
962,同町,どうちょう,"the same town, that town"
963,町長,ちょうちょう,"town headman, town mayor"
964,町内,ちょうない,"neighborhood, neighbourhood, street, block, town"
965,下町,したまち,"Shitamachi, lower parts of town"
966,町村,ちょうそん,towns and villages
967,町民,ちょうみん,townspeople
968,町並み,まちなみ,"street (of stores and houses), townscape, (look of) stores and houses on street"
969,室町,むろまち,"Muromachi (era 1392-1573, or 1333-1573, or 1336-1573)"
970,明らか,あきらか,"obvious, evident, clear, plain"
971,声明,せいめい,"declaration, statement, proclamation"
972,説明,せつめい,"explanation, exposition"
973,不明,ふめい,"unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified"
974,明確,めいかく,"clear up, clarify, define"
975,公明党,こうめいとう,"New Komeito (Japanese political party), New Clean Government Party, Justice Party"
976,解明,かいめい,"clarification, elucidation, explication"
977,公明,こうめい,"fairness, justice"
978,表明,ひょうめい,"declaration, indication, representation, manifestation, demonstration, expression, announcement, assertion"
979,未明,みめい,"early dawn, grey of morning, gray of morning"
980,京,"きょう, けい","imperial capital (esp. Kyoto); final word of an iroha-uta; 10^16, 10,000,000,000,000,000, ten quadrillion (American), (obs) ten thousand billion (British)"
983,京都,きょうと,Kyoto
984,東京証券取引所,とうきょうしょうけんとりひきじょ,"Tokyo Stock Exchange, TSE"
985,帝京,ていきょう,the capital
986,中京,ちゅうきょう,Nagoya and environs
987,在京,ざいきょう,being in Tokyo
988,上京,じょうきょう,proceeding to the capital (Tokyo)
989,京成,けいせい,train line Tokyo - Narita
990,空,から,"emptiness, vacuum, blank"
991,空港,くうこう,airport
992,航空,こうくう,"aviation, flying"
994,航空機,こうくうき,"aircraft, aeroplane, airplane"
996,空爆,くうばく,aerial bombing
997,空軍,くうぐん,Air Force
998,上空,じょうくう,"sky, the skies, high-altitude sky, upper air"
999,架空,かくう,"aerial, overhead, fiction, fanciful"
1000,通り,どおり,"in accordance with ..., following ...; .. Street, .. Avenue"
1001,通信,つうしん,"correspondence, communication, transmission, news, signal"
1003,共通,きょうつう,"commonness, community"
1004,交通,こうつう,"communication, transportation, traffic, intercourse"
1005,通貨,つうか,currency
1006,通常,つうじょう,"common, general, normal, usual"
1007,普通,ふつう,"general, ordinary, usual; normally, generally, usually; train that stops at every station"
1008,通産省,つうさんしょう,"(former) Ministry of International Trade and Industry (now Ministry of Economy, Trade and Industry), MITI"
1009,通算,つうさん,total
1010,言わば,いわば,"so to speak, so to call it, as it were"
1011,言う,"いう, ゆう",to say; to call (i.e. to give a name)
1012,言,"げん, こと","word, remark, statement"
1013,言葉,"ことば, けとば","language, dialect; word, words, phrase, term, expression, remark; speech, (manner of) speaking"
1014,宣言,せんげん,"declaration, proclamation, announcement"
1015,発言,はつげん,"utterance, speech, proposal"
1016,証言,しょうげん,"evidence, testimony"
1017,提言,ていげん,"proposal, motion"
1019,一言,"ひとこと, いちげん, いちごん",single word
1020,理,り,"reason, principle, logic; general principle (as opposed to individual concrete phenomenon); (in neo-Confucianism) the underlying principles of the cosmos"
1021,管理,かんり,"control, management (e.g. of a business)"
1022,理事,りじ,"director, board of directors"
1023,理由,りゆう,"reason, pretext, motive"
1024,処理,しょり,"processing, dealing with, treatment, disposition, disposal"
1025,総理,そうり,"prime minister, leader, overseer (of national affairs), president"
1026,理解,りかい,"understanding, comprehension"
1027,料理,りょうり,"cooking, cookery, cuisine; dealing with something, handling, administration, management"
1028,代理,だいり,"representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)"
1029,理念,りねん,idea
1030,体,"からだ, しんたい",body; health
1031,具体的,ぐたいてき,"concrete, tangible, definite, specific"
1032,全体,ぜんたい,"whole, entirety, whatever (is the matter)"
1033,体制,たいせい,"order, system, structure, set-up, organization, organisation"
1034,団体,だんたい,"organization, organisation, association"
1036,自治体,じちたい,"self-governing body, municipality, autonomous entity"
1037,体験,たいけん,personal experience
1038,遺体,いたい,"corpse, remains"
1039,具体,ぐたい,"concrete, tangible, material"
1040,作,さく,"a work, a harvest"
1041,作る,つくる,"to make, to produce, to manufacture, to build, to construct; to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to form (a line, etc.); to set (a record); to commit (a sin, etc.)"
1042,作り,つくり,"making, producing, manufacturing, building, construction, make, structure; appearance (i.e. attire, make-up); build (i.e. physique); sashimi; forced (smile, etc.)"
1043,作業,さぎょう,"work, operation, manufacturing, fatigue duty"
1044,作品,さくひん,"work (e.g. book, film, composition, etc.), opus, performance, production"
1045,作家,さっか,"author, writer, novelist, artist"
1046,作戦,さくせん,"tactics, strategy; military or naval operations"
1047,制作,せいさく,"work (film, book)"
1048,工作,こうさく,"work, construction, handicraft, maneuvering, manoeuvering"
1049,作曲,さっきょく,"composition, setting (of music)"
1050,雇用,こよう,"employment (long term), hire"
1051,採用,さいよう,"use, adoption, acceptance; appointment, employment, engagement"
1052,使用,しよう,"use, application, employment, utilization, utilisation"
1053,費用,ひよう,"cost, expense"
1054,利用,りよう,"use, utilization, utilisation, application"
1055,運用,うんよう,"making use of, application, investment, practical use"
1057,信用,しんよう,"confidence, dependence, credit, faith, reliance, belief, credence"
1058,適用,てきよう,applying
1059,利用者,りようしゃ,"user, end-user, consumer"
1060,強さ,つよさ,"strength, power"
1061,強化,きょうか,"strengthen, intensify, reinforce, solidify, enhancement"
1062,強制,きょうせい,"obligation, coercion, compulsion, enforcement"
1063,勉強,べんきょう,"study; diligence; discount, reduction"
1064,強める,つよめる,"to strengthen, to emphasize, to emphasise"
1065,強硬,きょうこう,"firm, vigorous, unbending, unyielding, strong, stubborn"
1066,強力,きょうりょく,"powerful, strong"
1067,強盗,ごうとう,"robber, mugger; robbery, burglary"
1068,強み,つよみ,forte
1069,強気,つよき,"firm, strong"
1070,足,あし,foot; leg; gait; pace; bottom structural component (i.e. radical) of a kanji; means of transportation
1071,不足,ふそく,"insufficiency, shortage, deficiency, lack, dearth"
1072,発足,"ほっそく, はっそく","starting, inauguration, launch, founding, establishment, start-up"
1073,満足,まんぞく,satisfaction; sufficiency
1074,足並み,あしなみ,"pace, step"
1075,足元,"あしもと, そっか","at one's feet, underfoot; gait, pace, step; you, thou"
1076,手足,てあし,"one's hands and feet, limbs"
1077,足跡,"あしあと, そくせき",footprints
1078,出足,であし,"start, turnout; constant forward movement (sumo)"
1079,足場,あしば,"scaffold, footing, foothold"
1080,公園,こうえん,(public) park
1081,公演,こうえん,public performance; sumo exhibition in a foreign country
1082,公開,こうかい,open to the public
1083,公共,こうきょう,"public, community, public service, society, communal"
1084,公式,こうしき,"formality, formal, official; formula"
1086,公的,こうてき,"public, official"
1087,公判,こうはん,"public hearing, trial"
1088,公民,こうみん,"citizen, freemen"
1090,野,"の, や, ぬ","plain, field; hidden (structural) member; wild; lacking a political post"
1092,野球,やきゅう,baseball
1093,野党,やとう,"opposition party, political opposition, opposition"
1094,与野党,よやとう,"(political) parties in and out of power, majority and minority parties"
1095,野菜,やさい,vegetable
1096,上野,うえの,section of Tokyo
1097,視野,しや,"field of vision, outlook"
1098,野生,やせい,"wild, growing wild; I"
1099,大野,おおの,large field
1100,思わず,おもわず,"unintentionally, reflexively, spontaneously, involuntarily, instinctively"
1101,思い,おもい,"thought, mind, heart, feelings, emotion, sentiment, love, affection, desire, wish, hope, expectation, imagination, experience"
1102,思う,おもう,"to think, to consider, to believe; to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to desire, to want; to recall, to remember"
1103,意思,いし,"intention, purpose"
1104,思想,しそう,"thought, idea, ideology"
1105,思惑,おもわく,"expectation, prediction, forecast; anticipation, speculation"
1106,思い切って,おもいきって,"resolutely, boldly, daringly"
1107,思い出,おもいで,"memories, recollections, reminiscence"
1108,思いやり,おもいやり,"consideration, sympathy"
1109,思考,しこう,"thought, consideration, thinking"
1110,家族,かぞく,"family, members of a family"
1111,家庭,かてい,"home, family, household"
1113,政治家,せいじか,"politician, statesman"
1115,専門家,せんもんか,specialist
1116,農家,のうか,"farmer, farm family"
1117,評論家,ひょうろんか,critic
1118,一家,"いっか, いっけ","a house, a home, a family, a household, one's family, one's folks, a style"
1120,多数,たすう,"great number; countless, majority"
1121,多様,たよう,"diverse, varied"
1122,多角,たかく,"many-sided, versatile, polygonal, diversified"
1123,最多,さいた,the most
1124,多額,たがく,large amount of money
1125,多彩,たさい,"variegated, varicoloured, multi-colored, diverse"
1126,多少,たしょう,"more or less, somewhat, a little, some"
1127,数多く,かずおおく,in great numbers
1128,多様化,たようか,diversification
1129,多大,ただい,"heavy, much"
1130,関心,かんしん,"concern, interest"
1132,心不全,しんふぜん,heart failure
1133,心から,"しんから, こころから","from the bottom of one's heart, heart and soul, by nature"
1134,心臓,しんぞう,heart
1135,心配,しんぱい,"worry, concern, anxiety; care, help, aid, assistance"
1136,心理,しんり,mentality
1137,安心,あんしん,"relief, peace of mind"
1138,都心,としん,"city centre (center) (esp. capital city), urban centre, heart of city a metropolis"
1139,熱心,ねっしん,"zeal, enthusiasm"
1140,教育,きょういく,"training, education"
1141,教授,きょうじゅ,"professor; teaching, instruction"
1142,教師,きょうし,teacher (classroom)
1143,宗教,しゅうきょう,religion
1144,教室,きょうしつ,classroom
1145,教徒,きょうと,"believer, adherent"
1147,教諭,きょうゆ,teacher
1148,助教授,じょきょうじゅ,assistant professor
1149,教会,きょうかい,church
1150,早期,そうき,early stage
1151,早,はや,"already, now, by this time"
1152,早急,"さっきゅう, そうきゅう",urgent
1153,早朝,そうちょう,early morning
1154,早める,はやめる,"to hasten, to quicken, to expedite, to precipitate, to accelerate"
1155,早々,"そうそう, はやばや","early, all in good time; quickly, promptly; just- (opened, started, etc.)"
1156,早い,はやい,"fast, quick, hasty, brisk; early (in the day, etc.), premature; (too) soon, not yet, (too) early; easy, simple, quick"
1157,時期尚早,じきしょうそう,premature
1158,素早く,すばやく,"quickly, nimbly, agilely"
1159,早乙女,さおとめ,"young female rice planter, young girl"
1160,元,もと,"origin, source; base, foundation; cause; ingredient; (somebody's) side, (somebody's) location; original cost (or capital, principal, etc.); trunk; first section of a waka; counter for blades of grass, tree trunks, etc., and for falcons (in falconry)"
1162,元首,げんしゅ,"ruler, sovereign"
1163,元気,げんき,"health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep"
1164,元日,"がんじつ, がんにち",New Year's Day
1165,身元,みもと,"person's identity, ID, past, background"
1167,還元,かんげん,"resolution, reduction, return to origins"
1168,元年,がんねん,first year (of a specific reign)
1169,次元,じげん,"dimension; perspective, point of reference, level (of something)"
1170,最近,さいきん,"latest, most recent, nowadays"
1171,近代,きんだい,"present day, modern times"
1172,付近,ふきん,"neighbourhood, neighborhood, vicinity, environs; approaching"
1173,近鉄,きんてつ,Kinki Nippon Tetsudou (railway co.)
1174,側近,そっきん,"close associate, close aide, brains-truster"
1175,近所,きんじょ,"neighbourhood, neighborhood"
1176,近年,きんねん,recent years
1177,近畿,きんき,"Kinki (region around Osaka, Kyoto, Nara)"
1178,近郊,きんこう,"suburbs, outskirts"
1179,近隣,きんりん,"neighbourhood, neighborhood, vicinity"
1180,考え,かんがえ,"thinking, thought, ideas, intention"
1182,参考,さんこう,"reference, consultation"
1183,選考,せんこう,"selection, screening"
1184,考える,かんがえる,"to consider, to think about"
1186,考古学,こうこがく,"archaeology, archeology"
1187,考慮,こうりょ,"consideration, taking into account"
1188,再考,さいこう,reconsideration
1189,考察,こうさつ,"consideration, inquiry, enquiry"
1190,画,かく,"stroke (of a kanji, etc.)"
1191,映画,えいが,"movie, film"
1192,計画,けいかく,"plan, project, schedule, scheme, program, programme"
1193,企画,きかく,"planning, project, plan, design"
1194,絵画,かいが,"picture, painting"
1195,画面,がめん,"terminal screen, scene, picture, the field (in TV), photo"
1196,画家,がか,"painter, artist"
1197,漫画,まんが,"comic, cartoon"
1198,画像,がぞう,"image, picture, portrait"
1199,経済企画庁,けいざいきかくちょう,Economic Planning Agency
1200,海,"うみ, み, わた, わだ","sea, beach"
1204,海軍,かいぐん,navy
1205,海上,かいじょう,"(by, at, on) sea, maritime, marine"
1206,海岸,かいがん,"coast, beach"
1207,海洋,かいよう,ocean
1208,掃海,そうかい,"sweeping the sea for mines, dragging for mines"
1209,日本海,"にほんかい, にっぽんかい",Sea of Japan
1210,販売,はんばい,"sales, selling, marketing"
1211,売り,うり,"sale, selling; selling point, gimmick"
1212,売る,うる,to sell
1213,売買,ばいばい,"trade, buying and selling"
1214,発売,はつばい,"sale, offering for sale, release (for sale), launch (product)"
1215,売り上げ,うりあげ,"amount sold, proceeds"
1216,売却,ばいきゃく,"sale, disposal by sale"
1217,売上高,うりあげだか,"sales, amount sold, proceeds"
1218,商売,しょうばい,"trade, business, commerce, transaction, occupation"
1219,売り場,うりば,"place where things are sold, point of sale, POS, sales floor, counter (in shop)"
1220,知る,しる,"to know, to understand, to be acquainted with, to feel"
1221,知事,ちじ,prefectural governor
1222,知らん顔,しらんかお,"unconcerned air, indifference, feigned ignorance, pretending not to recognize (somebody)"
1223,県知事,けんちじ,prefectural governor
1224,知識,ちしき,"knowledge, information"
1225,知人,ちじん,"friend, acquaintance"
1226,知恵,ちえ,"wisdom, wit, sagacity, sense, intelligence; prajna (insight leading to enlightenmen)"
1227,知的,ちてき,intellectual
1228,通知,つうち,"notice, notification, report, posting"
1229,副知事,ふくちじ,lieutenant governor
1230,道,みち,"road, street, way, path, course, route, lane; distance, ways (e.g. ""a long ways""); the way (of proper conduct, etc.), one's way, morals; teachings (esp. Confucian or Buddhist), dogma; field (of medicine, etc.), subject; way, method, means"
1231,報道,ほうどう,"information, report, journalism"
1233,道路,どうろ,"road, highway"
1234,鉄道,てつどう,railroad
1235,都道府県,とどうふけん,"administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures"
1236,軌道,きどう,"orbit, trajectory; railroad track"
1237,柔道,じゅうどう,judo
1238,報道陣,ほうどうじん,press corps
1239,高速道路,こうそくどうろ,"highway, freeway, expressway, motorway"
1240,計,けい,"plan; meter, measuring device; (in) total, total (of)"
1242,合計,ごうけい,"sum total, total amount"
1243,設計,せっけい,"plan, design, layout"
1244,計算,けいさん,"calculation, reckoning, count; forecast"
1245,統計,とうけい,statistics
1246,会計,かいけい,"account, finance, accountant, treasurer, paymaster, reckoning, bill"
1247,時計,"とけい, ときはかり","watch, clock, timepiece"
1248,集計,しゅうけい,"totalization, totalisation, aggregate"
1249,家計,かけい,"household economy, family finances"
1250,事,こと,"thing, matter, fact, circumstances, business, reason, experience"
1251,幹事,かんじ,"executive secretary, coordinator, organizer, person in charge of making arrangements"
1252,記事,きじ,"article, news story, report, account"
1253,軍事,ぐんじ,military affairs
1254,仕事,しごと,"work, job, business, occupation, employment, vocation, task; work"
1255,事業,じぎょう,"project, enterprise, business, industry, operations"
1256,事件,じけん,"event, affair, incident, case, plot, trouble, scandal"
1257,事故,じこ,"accident, incident, trouble; circumstances, reasons"
1258,事実,じじつ,"fact, truth, reality"
1259,事情,じじょう,"circumstances, consideration, conditions, situation, reasons"
1260,朝,"あさ, あした",morning
1262,朝鮮,ちょうせん,Korea
1263,朝鮮民主主義人民共和国,ちょうせんみんしゅしゅぎじんみんきょうわこく,"Democratic People's Republic of Korea (North Korea), DPRK"
1266,朝日,あさひ,morning sun
1267,朝刊,ちょうかん,morning newspaper
1268,朝食,ちょうしょく,breakfast
1270,字,あざ,section of village
1271,黒字,くろじ,balance (figure) in the black
1272,数字,すうじ,"numeral, figure, digit, numeric character"
1273,赤字,あかじ,"deficit, (being in or going into) the red; red text, red letters"
1275,漢字,かんじ,"Chinese characters, kanji"
1276,十字,じゅうじ,"cross, crossed, cruciform"
1277,文字通り,もじどおり,literal; literally
1278,活字,かつじ,printing type
1279,点字,てんじ,Braille
1280,発,はつ,"departure, departing (from ...), departing (at time ...); beginning; issued by (e.g. document); counter for gunshots, counter for blows (punches)"
1281,開発,かいはつ,"development, exploitation"
1284,発展,はってん,"development, growth"
1285,発表,はっぴょう,"announcement, publication"
1286,反発,はんぱつ,"to repel, to oppose, to revolt, to react sharply (against); opposition, rebellion, resistance, backlash; rally, recovery (e.g. in stock prices), rebound; to rally, to recover, to rebound"
1287,活発,かっぱつ,"vigor, vigour, active, lively"
1288,原発,げんぱつ,"nuclear power plant, nuclear power supply"
1290,台,だい,"stand, rack, table; support; belt; counter for machines, incl. vehicles; setting (e.g. in jewellery)"
1291,台湾,たいわん,Taiwan
1292,舞台,ぶたい,"stage (theatre, theater); scene or setting (e.g. of novel, play, etc.)"
1293,台風,たいふう,"typhoon, hurricane"
1294,台所,"だいどころ, だいどこ",kitchen
1295,大台,おおだい,"(stock) 100-yen unit, high level (of stock prices)"
1296,台頭,たいとう,"rise of, appearance of, (in the) forefront, prominence"
1297,台本,だいほん,"script, libretto, scenario"
1298,土台,どだい,"foundation, base, basis"
1299,屋台,やたい,"cart, esp. food cart; (festival) float"
1300,広い,ひろい,"spacious, vast, wide"
1301,広がり,ひろがり,"spread, span"
1302,広告,こうこく,advertisement
1303,広げる,ひろげる,"to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll"
1304,広がった枝,ひろがったえだ,spreading branches
1305,広さ,ひろさ,extent
1306,広報,こうほう,"PR, public relations, publicity, information"
1307,広場,ひろば,plaza
1308,幅広い,はばひろい,"extensive, wide, broad"
1309,広大,こうだい,"huge, very large, vast, extensive, magnificent, grand"
1310,音,"おと, ね, おん","sound, noise, report; note (music); fame; Chinese-derived character reading"
1311,音楽,おんがく,"music, musical movement"
1312,本音,ほんね,"real intention, motive"
1313,騒音,そうおん,noise
1314,音声,"おんせい, おんじょう","voice, (the concept of) sound"
1316,録音,ろくおん,(audio) recording
1317,音響,おんきょう,"sound, noise, echo, acoustic(s)"
1318,音頭,おんど,"workmen's songs, marching songs"
1319,音色,"ねいろ, おんいろ, おんしょく","tone color, tone colour, tone quality, timbre; synthesizer patch, synthesiser patch"
1320,患者,かんじゃ,(a) patient
1321,関係者,かんけいしゃ,"authorized people, authorised people, person(s) concerned"
1322,記者,きしゃ,reporter
1323,業者,ぎょうしゃ,"trader, merchant"
1324,容疑者,ようぎしゃ,suspect (person)
1325,若者,わかもの,"young man, youth, lad"
1326,消費者,しょうひしゃ,consumer
1327,労働者,ろうどうしゃ,"laborer (labourer), blue-collar worker"
1329,経営者,けいえいしゃ,"manager, proprietor"
1330,業,ごう,karma (i.e. actions committed in a former life)
1331,企業,きぎょう,"enterprise, undertaking, corporation, business"
1332,業界,ぎょうかい,"industry, business"
1335,産業,さんぎょう,industry
1337,農業,のうぎょう,agriculture
1338,営業,えいぎょう,"business, trade, sales, operations"
1339,業務,ぎょうむ,"business, affairs, duties, work, procedure, task, action, function"
1340,委員,いいん,committee member
1344,議員,ぎいん,"member of the Diet, congress or parliament"
1345,職員,しょくいん,"staff member, personnel"
1346,国会議員,こっかいぎいん,"member of National Diet, Diet member"
1348,全員,ぜんいん,"all members (unanimity), all hands, the whole crew, everyone, everybody"
1349,役員,やくいん,"officer, official, executive, staff"
1351,開催,かいさい,"holding a meeting, open an exhibition"
1352,開始,かいし,"start, commencement, beginning, initiation"
1353,開放,かいほう,"open, throw open, liberalization, liberalisation"
1355,展開,てんかい,development; expansion (opposite of compression)
1356,開幕,かいまく,raising the curtain
1357,再開,さいかい,"reopening, resumption, restarting"
1358,開き,ひらき,"opening, gap; dried and opened fish"
1359,開会,かいかい,opening of a meeting
1360,少し,すこし,"small quantity, little, few, something; little while; short distance"
1361,少なくとも,すくなくとも,at least
1363,減少,げんしょう,"decrease, reduction, decline"
1364,少数,しょうすう,"minority, few"
1366,青少年,せいしょうねん,"youth, young person"
1368,少ない,すくない,"few, a little, scarce, insufficient, seldom"
1369,少なからず,すくなからず,"considerably, not a little, in no small numbers"
1370,問う,とう,"to ask, to question, to inquire; to charge (i.e. with a crime), to accuse; to care (about); without regard to (with negative verb)"
1371,問,もん,counter for questions
1372,質問,しつもん,"question, inquiry, enquiry"
1373,訪問,ほうもん,"call, visit"
1374,問題,もんだい,"problem, question"
1375,問い合わせ,といあわせ,"enquiry, inquiry, ENQ, query, interrogation"
1376,喚問,かんもん,summons
1377,疑問,ぎもん,"question, problem, doubt, guess"
1378,顧問,こもん,"adviser, advisor, consultant"
1379,問い,とい,"question, query"
1380,代わり,"かわり, がわり","substitute, deputy, proxy, alternate, relief, compensation, second helping; in place of, as a substitute for"
1382,代表,だいひょう,"representative, representation, delegation, type, example, model"
1383,現代,げんだい,"nowadays, modern era, modern times, present-day"
1384,世代,せだい,"generation, the world, the age"
1387,交代,こうたい,"alternation, change, relief, relay, shift, substitution (sports, etc.)"
1388,代議,だいぎ,representing others in a conference
1389,代行,だいこう,acting as agent
1391,工業,こうぎょう,(manufacturing) industry
1392,工事,こうじ,construction work
1394,加工,かこう,"manufacturing, processing, treatment, machining"
1395,工夫,くふう,"scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)"
1396,人工,じんこう,"artificial, manmade, human work, human skill, artificiality"
1397,工学,こうがく,engineering
1398,商工,しょうこう,commerce and industry
1399,大工,だいく,carpenter
1400,動,どう,"motion, change, confusion"
1401,動き,うごき,"movement, activity, trend, development, change"
1402,運動,うんどう,"motion, exercise"
1403,活動,かつどう,"action, activity"
1406,動物,どうぶつ,animal
1407,不動産,ふどうさん,real estate
1408,動向,どうこう,"trend, tendency, movement, attitude"
1409,移動,いどう,"removal, migration, movement; mobile (e.g. communications)"
1410,禁止,きんし,"prohibition, inhibition, ban"
1411,停止,ていし,"suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance"
1412,防止,ぼうし,"prevention, check"
1413,中止,ちゅうし,"suspension, stoppage, discontinuance, interruption"
1414,廃止,はいし,"abolition, repeal"
1415,歯止め,はどめ,"brake, skid, pawl; restraint, curtailment, self-imposed limit, check"
1416,受け止める,うけとめる,"to catch, to stop the blow, to react to, to take"
1417,阻止,そし,"obstruction, check, hindrance, prevention, interdiction"
1418,止まる,"とまる, とどまる","to stop, to halt; to remain, to abide, to stay (in the one place); to come to a halt; to be limited to"
1419,差し止め,さしとめ,"prohibition, ban, suspension"
1420,主に,おもに,"mainly, primarily"
1421,喪主,もしゅ,chief mourner
1422,民主,みんしゅ,"democracy, popular sovereignty; democratic"
1423,主義,しゅぎ,"doctrine, rule, principle"
1424,主催,しゅさい,"organization, organisation, sponsorship"
1425,主席,しゅせき,"head, chief; chairman, governor, president; top student, head of the class; top seat, first desk (in orchestra)"
1426,主張,しゅちょう,"claim, request, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
1427,主婦,しゅふ,"housewife, mistress (of the house), homemaker"
1428,主要,しゅよう,"chief, main, principal, major"
1430,課題,かだい,"subject, theme, task, challenge, issue"
1433,題,だい,"title, subject, theme, topic; problem (on a test), question; counter for questions (on a test)"
1434,問題点,もんだいてん,the point at issue
1435,議題,ぎだい,"topic of discussion, agenda"
1436,題材,だいざい,"subject, theme"
1437,社会問題,しゃかいもんだい,social problem
1438,主題,しゅだい,"subject, theme, motif"
1439,宿題,しゅくだい,homework
1440,大切,たいせつ,"important, valuable, worthy of care"
1441,切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occasion"
1442,一切,いっさい,"all, everything, without exception, the whole, entirely, absolutely"
1443,適切,てきせつ,"pertinent, appropriate, adequate, relevance"
1444,切り,きり,"limits, end, bounds, period, place to leave off, closing sentence, all there is, only, since"
1446,切らす,きらす,"to be out of, to run out of, to be short of, to be out of stock"
1447,切る,きる,"to cut (usu. to cut through); to sever (connections, ties); to turn off (i.e. the light); to terminate (i.e. a conversation), to hang up (the phone), to disconnect; to punch (a ticket), to tear off (a stub); to open (something sealed); to start; to set (a limit); to reduce, to decrease, to discount; to shake off (water, etc.), to let drip-dry (or drain); to cross; to do (something noticeable); to turn (a vehicle); to cut (the ball); to shuffle (cards); to trump; (in Go) to isolate (an opponent's stone); (after the -masu stem of a verb) to finish, to complete"
1448,締め切り,しめきり,"closing, cut-off, end, deadline, Closed, No Entrance"
1449,切手,きって,"stamp (postage), merchandise certificate"
1451,意味,いみ,"meaning, significance"
1452,合意,ごうい,"agreement, consent, mutual understanding"
1453,意向,いこう,"intention, idea, inclination"
1455,意識,いしき,"consciousness; awareness, sense; mano-vijnana (mental consciousness, cognizer of sensory information)"
1456,意欲,いよく,"will, desire, ambition"
1457,決意,けつい,"decision, determination"
1459,意義,いぎ,"meaning, significance"
1460,制度,せいど,"system, institution, organization, organisation"
1461,程度,ていど,"degree, amount, grade, standard, of the order of (following a number)"
1463,態度,たいど,"attitude, manner, behaviour"
1465,前年度,ぜんねんど,preceding fiscal year
1466,年度,ねんど,"year, fiscal year, school year, term"
1467,一度,"いちど, ひとたび","once, one time, on one occasion; temporarily, for a moment; one degree, one tone, one musical interval"
1468,今年度,こんねんど,this year
1469,二度,にど,"two times, twice; two degrees"
1470,維持,いじ,"maintenance, preservation, improvement"
1471,支持,しじ,"support, maintenance"
1473,持ち,もち,"hold, charge, keep possession, in charge; wear, durability, life, draw; usage"
1474,持つ,もつ,"to hold, to carry; to possess"
1475,持ち込む,もちこむ,"to lodge, to take something into ..., to bring in"
1476,保持,ほじ,"retention, maintenance, preservation"
1477,持続,じぞく,continuation
1478,持ち味,もちあじ,"inherent flavor, inherent flavour, distinctive characteristic"
1479,金持ち,かねもち,rich man
1480,花,はな,"flower, blossom, bloom, petal; blooming (esp. of cherry blossoms), cherry blossom; ikebana; Japanese playing cards; beauty; (the) best"
1482,花びら,"はなびら, かべん",(flower) petal
1483,花見,はなみ,"cherry blossom viewing, flower viewing"
1484,花園,"はなぞの, かえん",flower garden
1485,花束,はなたば,"bunch of flowers, bouquet"
1486,花粉,かふん,pollen
1487,花嫁,はなよめ,bride
1488,開花,かいか,blooming
1489,火花,ひばな,spark
1490,赤ちゃん,あかちゃん,"baby, infant"
1492,赤松,あかまつ,"Japanese red pine (Pinus densiflora), Japanese umbrella pine, tanyosho pine"
1493,赤い,あかい,red; Red (i.e. communist)
1494,真っ赤,まっか,"bright red, deep red, flushed (of face); downright (e.g. lie), complete, utter"
1495,赤ん坊,あかんぼう,baby
1496,赤軍,せきぐん,Red Army
1497,赤外線,せきがいせん,infra-red rays
1498,赤道,せきどう,equator
1499,赤旗,あかはた,red flag; Red Flag (Communist Party newspaper)
1500,青,あお,"blue; green; green light; black (horse coat color); immature, unripe, young"
1501,青年,せいねん,"youth, young man"
1504,青春,せいしゅん,"youth, springtime of life, adolescent"
1506,青空,あおぞら,blue sky
1507,青葉,あおば,fresh leaves
1508,青写真,あおじゃしん,"blueprint, plan"
1509,青果,せいか,fruit(s) and vegetables
1510,世,よ,"world, society, age, generation"
1511,世界,せかい,"the world, society, the universe"
1513,世論,"せろん, よろん",public opinion
1514,世界的,せかいてき,"global, international, world-famous"
1515,世紀,せいき,"century, era"
